10 17 20 23
10 17 21 24
10 17 22 25
10 18 19 27
10 18 20 24
10 18 21 25
10 18 22 23
11 12 19 22
11 12 20 21
11 12 23 24
11 12 25 26
11 13 19 21
11 13 20 22
11 13 24 25
11 13 26 27
11 14 19 26
11 14 20 23
11 14 21 24
11 14 25 27
11 15 19 27
11 15 20 24
11 15 21 23
11 15 22 25
11 16 20 25
11 16 21 26
11 16 22 24
11 16 23 27
11 17 19 23
11 17 20 26
11 17 21 25
11 17 22 27
11 18 19 24
11 18 20 27
11 18 22 26
11 18 23 25
12 13 19 20
12 13 21 22
12 13 23 25
12 13 24 27
12 14 20 24
12 14 21 23
12 14 22 25
12 14 26 27
12 15 19 26
12 15 20 23
12 15 21 24
12 15 22 27
12 16 19 27
12 16 20 26
12 16 21 25
12 16 22 23
12 17 19 24
12 17 20 25
12 17 21 26
12 17 23 27
12 18 19 25
12 18 21 27
12 18 22 24
12 18 23 26
13 14 19 27
13 14 21 25
13 14 22 23
13 14 24 26
13 15 20 25
13 15 21 27
13 15 22 24
13 15 23 26
13 16 19 26
13 16 20 24
13 16 21 23
13 16 22 25
13 17 19 25
13 17 20 27
13 17 22 26
13 17 23 24
13 18 19 23
13 18 20 26
13 18 21 24
13 18 22 27
14 15 19 25
14 15 20 21
14 15 22 26
14 15 23 24
14 16 19 24
14 16 20 27
14 16 21 22
14 16 23 25
14 17 19 20
14 17 21 27
14 17 22 24
14 17 23 26
14 18 19 22
14 18 20 25
14 18 21 26
14 18 23 27
15 16 19 23
15 16 20 22
15 16 24 25
15 16 26 27
15 17 19 21
15 17 22 23
15 17 24 26
15 17 25 27
15 18 19 20
15 18 21 22
15 18 24 27
15 18 25 26
16 17 19 22
16 17 20 21
16 17 24 27
16 17 25 26
16 18 19 21
16 18 20 23
16 18 24 26
16 18 25 27
17 18 20 22
17 18 21 23
17 18 24 25
17 18 26 27
